ID;PARENT_ID;NIMI;BANNER_URL;KUVAUS_FI;KUVAUS_SV;KUVAUS_EN;NIMI_EN;NIMI_SV;CollectionPAGELink
101;;Yhteistyössä toteutetut;images/collections/sancol.png;Valittuja uudempia aineistoja digitoidaan ja avataan yhteistyökumppaneiden tukemana.;Utvalda, ofta nyare material digitaliseras och tillgängliggörs med stöd från olika samarbetspartner.;Selected, usually newer materials are digitised and opened for use in cooperation with various partners.;Selections made in collaboration;Verk som digitaliserats med stöd från samarbetspartner;https://digi.kansalliskirjasto.fi/collections?id=101
102;101;Käkisalmen ja Laatokan alueen lehdet;images/collections/laatokka_musketti.png;"Vanhoja Käkisalmen ja Laatokan alueen sanomalehtiä pääsee nyt lukemaan digi.kansalliskirjasto.fi -verkkopalvelussa. <a target=""_new"" href=""https://kakisalmi.fi/"">Käkisalmi-Säätiö</a>, Kansalliskirjasto ja Kopiosto ovat sopineet lehtien digitoinnista ja avoimesta verkkokäytöstä.

<a target=""_new"" href=""https://www.kansalliskirjasto.fi/fi/uutiset/historialliset-karjalaiset-sanomalehdet-digikayttoon"">Tiedote Kansalliskirjaston sivuilla</a>

Kokoelman kuva: ""Laatokka kesäyönä"" - <a target=""_new"" href=""https://www.finna.fi/Record/musketti.M012:HK19700502:197"">Museovirasto - Musketti</A> . 
Kokoelman kuvituskuva on julkaistu Nimeä 4.0 Kansainvälinen (CC BY 4.0)-lisenssillä.   ![CC 4.0 BY](images/licenses/by_88x31.png) (Kuvan käyttöoikeudet tarkastettu 21.11.2018)";"De historiska tidningarna och tidskrifterna från Kexholm och Ladoga område kan läsas på digi.kansalliskirjasto.fi. Käkisalmi-stiftelsen, Nationalbiblioteket och Kopiosto har kommit överens om digitaliseringen och tillgängliggörandet av tidningarna. 

Bild: ""Laatokka kesäyönä"" - <a target=""_new"" href=""https://www.finna.fi/Record/musketti.M012:HK19700502:197"">Museovirasto - Musketti</A> . 
Bilden har publicerats under licensen Erkännande-4.0 Internationell (CC BY 4.0)  ![CC 4.0 BY](images/licenses/by_88x31.png) (Användarrättigheter av illustration kollat 21.11.2018)";"Priozersk and Lake Ladoga region newspapers and journals (Käkisalmi-Säätiö) can now be read at digi.kansalliskirjasto.fi thanks to agreement with National Library, Kopiosto and Käkisalmi-säätiö.

Banner image for collection: ""Laatokka kesäyönä"" - <a target=""_new"" href=""https://www.finna.fi/Record/musketti.M012:HK19700502:197"">Museovirasto - Musketti</A> . 
Illustration's license Attribution 4.0 International (CC BY 4.0)-lisence. ![CC 4.0 BY](images/licenses/by_88x31.png) (User rights of illustration checked 21.11.2018).";Priozersk and Lake Ladoga region newspapers and journals;Tidningar och tidskrifter från Kexholm och Ladoga;https://digi.kansalliskirjasto.fi/collections?id=102
201;501;Maantiede ja matkailu;/images/collections/kartat.png;Valikoima Suomea koskevaa tai suomalaisten kirjoittamaa maantiedettä ja matkailua käsittelevää kirjallisuutta 1600-luvulta 1900-luvun alkuun. Sisältää mm. maantieteen oppikirjoja, matkaoppaita ja matkakirjoja. Mukana on sekä ulkomaisten matkailijoiden kuvauksia Suomesta että suomalaisten matkakertomuksia maailmalta Palestiinasta Brasiliaan ja Afrikasta Siperiaan. Valikoimaan kuuluu myös esimerkiksi suomalaisille matkustavaisille tarkoitettua Amerikka-kirjallisuutta ja venäjänkielistä matkaopaskirjallisuutta Suomeen, sekä paljon Lappiin liittyvää materiaalia.;Ett urval litteratur om geografi och turism från 1600-talet till 1900-talets början som handlar om Finland eller skrivits av finländare. Innehåller bl.a. läroböcker i geografi, resehandböcker och reseskildringar. Här finns både utländska resenärers berättelser från Finland och finländares beskrivningar av sina resor på olika håll i världen, i Palestina, Brasilien, Afrika och Sibirien. I urvalet ingår också exempelvis Amerika-litteratur avsedd för finländska resenärer, resehandledningar för Finland på ryska samt en mängd material om Lappland.;This is a selection of geography and travel literature about Finland or by Finnish authors from the 19th century to the early 20th century. The collection includes both foreign travelers’ descriptions of Finland and Finnish travelers’ accounts from their journeys from Palestine to Brazil to Siberia and Africa. There is also a lot of literature about Lapland.;Geography and travel;Geografi och resor;https://digi.kansalliskirjasto.fi/collections?id=201
441;101;Bibliotheca Wiburgensis;/images/collections/kaki.jpg;"Kokoelma sisältää valikoiman Viipurin Suomalaisen Kirjallisuusseuran (VSKS) julkaisemia kirjoja vuosilta 1847-1882 sekä viipurilaisten kirjoittamia kauno- ja tietokirjallisia teoksia 1800-luvulta. Lisäksi mukana on Cedervallerien Viipurin kirjapainon ennen vuotta 1860 painamat kirjat.

Kokoelman digitoinnin on rahoittanut <a target=""_new"" href=""https://vsks.net/"">Viipurin Suomalainen Kirjallisuusseura</A>.";"Samlingen innehåller ett urval böcker som publicerats av Finska litteraturföreningen i Viborg (VSKS) har finansierat digitaliseringen av samlingen under åren 1847-1882, samt skön- och facklitterära verk från 1800-talet skrivna av viborgare. I samlingen ingår även böcker tryckta vid Cedervallers tryckeri i Viborg före 1860.

<a target=""_new"" href=""https://vsks.net/"">Finska litteraturföreningen i Viborg</A>.";"The collection includes a selection of books published by the Finnish Literature Society of Vyborg (VSKS) from 1847 to 1882, as well as fiction and non-fiction books from the 19th century written by the Vyborgians. There are also books printed by the Cedervaller's Vyborg printing house before 1860.

The digitization of the collection is funded by <a target=""_new"" href=""https://vsks.net/"">The Finnish Literature Society of Vyborg</A>.";Bibliotheca Wiburgensis;Bibliotheca Wiburgensis;https://digi.kansalliskirjasto.fi/collections?id=441
501;;Kirjat;images/collections/colbanner6.jpg;;;;Books;Böcker;https://digi.kansalliskirjasto.fi/collections?id=501
82;;Sanomalehdet;images/collections/sancol.png;"Kansalliskokoelman sanomalehtikokoelmassa säilytetään vapaakappaleina saatavia Suomessa julkaistavia sanomalehtiä 1700-luvun lopulta nykypäivään. Kokoelma muodostaa lähes katkeamattoman sarjan suomalaisen sanomalehdistön historiaa aina ensimmäisistä lehdistä Tidningar utgifne Af et Sällskap i Åbo ja Suomenkieliset Tieto-Sanomat nykypäivän Hufvudstadsbladetiin ja Helsingin Sanomiin.

Kansalliskirjaston sanomalehtiaineistot sisältyvät myös [Kielipankin tekstiesiintymien hakuohjelmasta Korp:sta](https://tinyurl.com/digikorp), joka on kehitetty Språkbankenissa (Ruotsin kielipankki).  

<img width=""300px"" src=""images/logos/KIELIPANKKI_logo_RGB_400px.png"" alt=""Kielipankki logo"">";"I Nationalsamlingens tidningssamling förvaras tidningar som har publicerats i Finland och erhållits som friexemplar, från början av 1700-talet fram till dags dato. Samlingen utgör en nästan oavbruten serie av den finländska tidningspressens historia ända från de första tidningarna Tidningar utgifne af et Sällskap i Åbo och Suomenkieliset Tieto-Sanomat till dagens tidningar Hufvudstadsbladet och Helsingin Sanomat. 

Tidningarna ingår också i [Språkbankens konkordansverktyg - Korp ](https://tinyurl.com/digikorp).
<img src=""images/logos/KIELIPANKKI_logo_RGB_400px.png"" alt=""Kielipankki logo"">";"The Newspaper Collection of the National Collection contains newspapers published in Finland received as legal deposit copies from the late 1700s to today. The collection is an almost uninterrupted series of the history of Finnish newspaper publishing from the first newspapers Tidningar utgifne af et Sällskap i Åbo and Suomenkieliset Tieto-Sanomat to modern Hufvudstadsbladet and Helsingin Sanomat.

The newspapers are also included in Korp, which is the concordance search tool of Språkbanken [The Swedish Language Bank concordance tool](https://tinyurl.com/digikorp) , adapted to the Language Bank of Finland.
<img src=""images/logos/KIELIPANKKI_logo_RGB_400px.png"" alt=""Kielipankki logo"">";Newspapers;Tidningar;https://digi.kansalliskirjasto.fi/collections?id=82
121;101;Historialliset työväenlehdet;images/collections/kkgen.png;"Vanhoja työväenlehtiä pääsee nyt lukemaan digitaalisesti Kansalliskirjaston ja muiden vapaakappalekirjastojen lisäksi myös [Työväenliikkeen kirjastossa](https://www.tyovaenperinne.fi/), [Työväen Arkistossa](http://www.tyark.fi/), [Kansan Arkistossa](http://www.kansanarkisto.fi/) ja [Työväenmuseo Werstaalla](http://www.werstas.fi/). Kansalliskirjasto ja Työväenliikkeen kirjasto, arkistot ja museo ovat sopineet lehtien digitoinnista ja verkkokäytöstä tekijänoikeusjärjestö Kopioston kanssa.

Suomen Sosialidemokraatti, Työkansan Sanomat, Vapaa sana ja Kansan Uutiset -lehtien numerot ovat käytettävissä edellä mainituissa kirjastossa, arkistoissa ja museossa siltä osin kuin ne on digitoitu. Digitoinnin edetessä lehtiä avataan käytettäväksi aina vuoteen 1966 saakka.";"Nu kan du läsa gamla arbetartidningar digitalt på Nationalbiblioteket och övriga friexemplarbibliotek och dessutom på Arbetarrörelsens bibliotek samt i [Arbetarrarkivet](https://www.tyark.fi/?lang=sv), [Folkets arkiv](http://www.kansanarkisto.fi/) och på [Arbetarmuséet Werstas](http://www.werstas.fi/?lang=sv). Arbetarrörelsens bibliotek, arkiven och muséet har tillsammans med Nationalbiblioteket avtalat om digitalisering och nätanvändning med upphovsrättsorganisationen Kopiosto.

Tidningarna Suomen Sosialidemokraatti, Työkansan Sanomat, Vapaa sana och Kansan Uutiset kan du läsa på nämnda bibliotek, arkiv och museum i den mån de är digitaliserade. I takt med att digitaliseringen fortskrider öppnas tidningarna för användning ända till år 1966.";Old labour newspapers in copyright are now digitally available at the National Library and other legal deposit libraries and in addition onsite in several Labour libraries, archives and museums. The National Library and the Labour organizations have agreed on the digitization and online access with the copyright organization Kopiosto;Labour newspapers;Historiska arbetartidningar;https://digi.kansalliskirjasto.fi/collections?id=121
461;381;Academica;/images/collections/swsin.png;Academica-kokoelma vuoteen 1827 sisältää koti- ja ulkomaisiin opinnäytteisiin kuuluneita oraatioita, Turun Akatemian ja ulkomaisten yliopistojen järjestämien tilaisuuksien ohjelmia, kutsuja, ylioppilasluetteloja, luento-ohjelmia, koti- ja ulkomaalaisia promootiojulkaisuja sekä akateemisten juhlallisuuksien ohjelmia.;Academica-samlingen sträcker sig fram till år 1827 och innehåller orationer tillhörande inhemska och utländska dissertationer, program för tillställningar vid Akademien i Åbo och utländska universitet, inbjudningar, studentregister, föreläsningsprogram, inhemska och utländska promotionspublikationer samt akademiska högtiders program.;The Academica collection, which extends to the year 1827, contains orations for domestic and international dissertations, programmes for events organised by the Academy of Turku and foreign universities, invitations, student directories, curriculums, domestic and international conferment publications and programmes for academic celebrations.;Academica;Academica;https://digi.kansalliskirjasto.fi/collections?id=461
464;381;Asetukset;/images/collections/swsin.png;Kokoelma sisältää suomen- ja ruotsinkielisiä asetuksia. Asetuksiin sisältyy myös muita virallisjulkaisuja kuten mm. rukouspäiväjulistukset eli plakaatit (placat), julkiset kuulutukset (kungörelse) sekä esim. sotavoitoista ja kuninkaallisten lasten syntymästä kertovat kiitoskirjeet.;Samlingen innehåller finsk- och svenskspråkiga förordningar. Till samlingen hör även andra officiella publikationer såsom placater, kungörelser och tackbrev för t.ex. krigsseger eller födelse av kungliga barn.;"The collection contains
Finnish- and Swedish-language decrees, as well as other official publications such as declarations of intercession days (placat), official proclamations and letters of gratitude for events such as war victories and births of royal children.";Statutes;Stadgar (Förordningar);https://digi.kansalliskirjasto.fi/collections?id=464
466;381;Hartauskirjallisuus;/images/collections/sv_blue.png;;;;Devotional Literature;Andaktslitteratur;https://digi.kansalliskirjasto.fi/collections?id=466
